STATION,DATE,wind_x,wind_y,ceiling,visibility,pressure,dew,precipitation_duration,precipitation_depth,pm25,mean_aod,min_aod,max_aod
72288623130,2018-05-19,-6.121730426578714,58.64248144910266,1.0,46326.58064516129,10122.0,110.8,1.92,0.0,23.521052631578947,0.5582142857142858,0.539,0.597
72288623130,2018-05-22,-9.257097934076244,68.80450761200821,1.0,47831.903225806454,10114.5,103.2,1.92,0.0,18.3,0.451,0.431,0.471
72288623130,2018-05-23,-77.12262595485619,107.43294985817928,1.0,52414.77777777778,10129.5,105.61538461538461,1.92,0.0,17.725,0.2846818181818182,0.242,0.318
72288623130,2018-05-27,-42.010291582911485,20.411258325911174,1.0,51232.5,10131.083333333334,102.11111111111111,1.92,0.0,20.25263157894737,0.194735294117647,0.028,0.372
72288623130,2018-05-28,-17.41608061819564,33.92969166796519,1.0,53378.53846153846,10126.541666666666,113.08,1.92,0.0,22.457894736842103,0.1755522388059701,0.082,0.301
72288623130,2018-05-29,-17.98454036672422,37.83798075267937,1.0,46580.379310344826,10101.375,132.03571428571428,1.92,0.0,29.025,0.2141818181818181,0.185,0.262
72288623130,2018-06-01,-88.62691704540204,108.85588147843681,1.0,91778.07692307692,10133.25,100.41666666666667,1.92,0.0,18.557894736842105,0.124695652173913,0.074,0.21
72288623130,2018-06-02,-56.55807500942566,36.34042163897542,1.0,55449.24,10133.416666666666,109.54166666666667,1.92,0.0,21.02777777777778,0.1285,0.047,0.202
72288623130,2018-06-03,-57.49615099337822,64.4119162010936,1.0,55449.24,10116.666666666666,114.79166666666667,1.92,0.0,24.621052631578948,0.1114565217391304,0.061,0.281
72288623130,2018-06-04,-51.071429000119224,60.94791951721343,1.0,48991.0,10104.75,132.55555555555554,1.92,0.0,26.272222222222226,0.2424166666666667,0.105,0.317
72288623130,2018-06-05,-24.990169240709303,-5.37223249183314,1.0,45242.26666666667,10109.666666666666,136.58620689655172,1.92,0.0,26.860000000000003,0.2126190476190476,0.148,0.288
72288623130,2018-06-06,35.01900676955686,43.540592151679085,1.0,47066.066666666666,10111.583333333334,128.79310344827587,1.92,0.0,23.34285714285714,0.1103913043478261,0.092,0.139
72288623130,2018-06-07,-20.328091676697678,77.75806182656287,1.0,46689.903225806454,10118.458333333334,112.56666666666666,1.92,0.0,23.711111111111112,0.2188695652173913,0.136,0.318
72288623130,2018-06-08,-32.908619992376806,39.85934162561034,1.0,55449.24,10121.333333333334,103.5,1.92,0.0,21.417391304347827,0.1497391304347826,0.086,0.212
72288623130,2018-06-09,-39.06874593437989,-6.587198648420353,1.0,55449.24,10114.125,111.625,1.92,0.0,23.145454545454545,0.0997826086956521,0.019,0.189
72288623130,2018-06-10,-9.196072645767861,50.36765071713448,1.0,55449.24,10101.125,85.27272727272727,1.92,0.0,18.981818181818184,0.102391304347826,0.035,0.251
72288623130,2018-06-11,14.295888998480075,18.618919628341345,1.0,55449.24,10084.125,93.25,1.92,0.0,19.86842105263158,0.0828260869565217,0.019,0.14
72288623130,2018-06-12,-20.906804975111925,31.298732700430484,1.0,55449.24,10081.958333333334,100.75,1.92,0.0,22.927777777777777,0.0819130434782608,0.019,0.287
72288623130,2018-06-13,-22.012526766844577,29.302577910042068,1.0,55449.24,10084.583333333334,114.625,1.92,0.0,23.8375,0.1026417910447761,0.039,0.264
72288623130,2018-06-14,-34.64231425570909,50.65211887825032,1.0,54805.56,10084.25,108.04166666666667,1.92,0.0,20.94761904761905,0.0767073170731707,0.019,0.219
72288623130,2018-06-18,-59.87854077564141,122.41879021816847,1.0,52533.96296296296,10144.083333333334,104.8076923076923,1.92,0.0,18.991304347826087,0.1057608695652174,0.029,0.175
72288623130,2018-06-19,-57.48675182709505,39.64954089861517,1.0,49521.41379310345,10136.75,119.67857142857143,1.92,0.0,22.785714285714285,0.1383913043478261,0.033,0.293
72288623130,2018-06-20,-28.566221812219307,50.26238257641778,1.0,54612.44,10120.875,139.45833333333334,1.92,0.0,29.017391304347825,0.157195652173913,0.051,0.263
72288623130,2018-06-21,-11.955138561677787,3.052516460488876,1.0,44804.58620689655,10122.666666666666,153.07142857142858,1.92,0.0,37.766666666666666,0.1628913043478261,0.087,0.307
72288623130,2018-06-22,-18.07143067608355,63.460458741955605,1.0,44915.55172413793,10110.708333333334,155.03571428571428,1.92,0.0,34.095238095238095,0.2250217391304348,0.15,0.32
72288623130,2018-06-23,5.238850059117609,28.237846760130502,1.0,44866.7,10090.5,152.3793103448276,1.92,0.0,30.75,0.3619130434782608,0.301,0.412
72288623130,2018-06-24,38.39854424265486,-7.348601083446624,1.0,50657.78571428572,10114.166666666666,136.11111111111111,1.92,0.0,21.425,0.1085652173913043,0.079,0.144
72288623130,2018-06-25,7.213768375103374,68.87918892531482,1.0,49188.41379310345,10129.833333333334,126.96428571428571,1.92,0.0,19.236363636363635,0.0933478260869565,0.05,0.148
