wkt,Latitudes,Longitudes
"POLYGON ((-118.4952718782742 33.7020803924213, -118.58510340668619 33.7020803924213, -118.4952718782742 33.62759984277431, -118.58510340668619 33.62759984277431, -118.4952718782742 33.7020803924213))",-118.54018764248018,33.664840117597805
"POLYGON ((-118.4952718782742 33.7393206672448, -118.58510340668619 33.7393206672448, -118.4952718782742 33.664840117597805, -118.58510340668619 33.664840117597805, -118.4952718782742 33.7393206672448))",-118.54018764248018,33.702080392421294
"POLYGON ((-118.4952718782742 33.77656094206829, -118.58510340668619 33.77656094206829, -118.4952718782742 33.7020803924213, -118.58510340668619 33.7020803924213, -118.4952718782742 33.77656094206829))",-118.54018764248018,33.7393206672448
"POLYGON ((-118.4952718782742 33.81380121689179, -118.58510340668619 33.81380121689179, -118.4952718782742 33.7393206672448, -118.58510340668619 33.7393206672448, -118.4952718782742 33.81380121689179))",-118.54018764248018,33.77656094206829
"POLYGON ((-118.4952718782742 33.851041491715286, -118.58510340668619 33.851041491715286, -118.4952718782742 33.77656094206829, -118.58510340668619 33.77656094206829, -118.4952718782742 33.851041491715286))",-118.54018764248018,33.81380121689179
"POLYGON ((-118.4952718782742 33.88828176653878, -118.58510340668619 33.88828176653878, -118.4952718782742 33.81380121689179, -118.58510340668619 33.81380121689179, -118.4952718782742 33.88828176653878))",-118.54018764248018,33.851041491715286
"POLYGON ((-118.4952718782742 33.92552204136228, -118.58510340668619 33.92552204136228, -118.4952718782742 33.851041491715286, -118.58510340668619 33.851041491715286, -118.4952718782742 33.92552204136228))",-118.54018764248018,33.88828176653878
"POLYGON ((-118.4952718782742 33.962762316185774, -118.58510340668619 33.962762316185774, -118.4952718782742 33.88828176653878, -118.58510340668619 33.88828176653878, -118.4952718782742 33.962762316185774))",-118.54018764248018,33.92552204136228
"POLYGON ((-118.4952718782742 34.00000259100927, -118.58510340668619 34.00000259100927, -118.4952718782742 33.92552204136228, -118.58510340668619 33.92552204136228, -118.4952718782742 34.00000259100927))",-118.54018764248018,33.962762316185774
"POLYGON ((-118.4952718782742 34.037242865832766, -118.58510340668619 34.037242865832766, -118.4952718782742 33.962762316185774, -118.58510340668619 33.962762316185774, -118.4952718782742 34.037242865832766))",-118.54018764248018,34.00000259100927
"POLYGON ((-118.4952718782742 34.07448314065626, -118.58510340668619 34.07448314065626, -118.4952718782742 34.00000259100927, -118.58510340668619 34.00000259100927, -118.4952718782742 34.07448314065626))",-118.54018764248018,34.037242865832766
"POLYGON ((-118.4952718782742 34.11172341547976, -118.58510340668619 34.11172341547976, -118.4952718782742 34.037242865832766, -118.58510340668619 34.037242865832766, -118.4952718782742 34.11172341547976))",-118.54018764248018,34.07448314065626
"POLYGON ((-118.4952718782742 34.148963690303255, -118.58510340668619 34.148963690303255, -118.4952718782742 34.07448314065626, -118.58510340668619 34.07448314065626, -118.4952718782742 34.148963690303255))",-118.54018764248018,34.11172341547975
"POLYGON ((-118.4952718782742 34.18620396512675, -118.58510340668619 34.18620396512675, -118.4952718782742 34.11172341547976, -118.58510340668619 34.11172341547976, -118.4952718782742 34.18620396512675))",-118.54018764248018,34.14896369030325
"POLYGON ((-118.4952718782742 34.22344423995025, -118.58510340668619 34.22344423995025, -118.4952718782742 34.148963690303255, -118.58510340668619 34.148963690303255, -118.4952718782742 34.22344423995025))",-118.54018764248018,34.18620396512675
"POLYGON ((-118.4503561140682 33.7020803924213, -118.54018764248019 33.7020803924213, -118.4503561140682 33.62759984277431, -118.54018764248019 33.62759984277431, -118.4503561140682 33.7020803924213))",-118.4952718782742,33.664840117597805
"POLYGON ((-118.4503561140682 33.7393206672448, -118.54018764248019 33.7393206672448, -118.4503561140682 33.664840117597805, -118.54018764248019 33.664840117597805, -118.4503561140682 33.7393206672448))",-118.4952718782742,33.702080392421294
