,Loss,Error
0,11.299654,0.97892
1,10.498394,0.8852266
2,9.735639,0.79593146
3,9.01164,0.71187985
4,8.326182,0.63735455
5,7.741488,0.5906804
6,7.2039976,0.5531576
7,6.6949067,0.5212029
8,6.2076397,0.49290767
9,5.780403,0.47223982
10,5.4049296,0.45684004
11,5.089668,0.44712973
12,4.8534193,0.4449795
13,4.6568003,0.44449067
